TimeStamp	POS_X	POS_Y	POS_Z
169882853	-78.7760256	0.1	0.0
170082773	-78.7760256	0.1	0.0
170282693	-78.7760256	0.1	0.0
170483446	-78.7760256	0.1	0.0
170683366	-78.7760256	0.1	0.0
170883286	-78.7760256	0.1	0.0
171083206	-78.7760256	0.1	0.0
171283126	-78.7760256	0.1	0.0
171483046	-78.7760256	0.1	0.0
171682966	-78.7760256	0.1	0.0
171882886	-78.7760256	0.1	0.0
172082806	-78.7760256	0.1	0.0
172282726	-78.7760256	0.1	0.0
172483479	-78.7760256	0.1	0.0
172683399	-78.7760256	0.1	0.0
172883319	-78.7760256	0.1	0.0
173083239	-78.7760256	0.1	0.0
173283159	-78.7760256	0.1	0.0
173483079	-78.7760256	0.1	0.0
173682999	-78.7760256	0.1	0.0
173882919	-78.7760256	0.1	0.0
174082839	-78.7760256	0.1	0.0
174282759	-78.7760256	0.1	0.0
174482679	-78.7760256	0.1	0.0
174683432	-78.7760256	0.1	0.0
174883352	-78.7760256	0.1	0.0
175083272	-78.7760256	0.1	0.0
175283192	-78.7760256	0.1	0.0
175483112	-78.7760256	0.1	0.0
175683032	-78.7760256	0.1	0.0
175882952	-78.7760256	0.1	0.0
176082872	-78.7760256	0.1	0.0
176282792	-78.7760256	0.1	0.0
176482712	-78.7760256	0.1	0.0
176683465	-78.7760256	0.1	0.0
176883385	-78.7760256	0.1	0.0
177083305	-78.7760256	0.1	0.0
177283225	-78.7760256	0.1	0.0
177483145	-78.7760256	0.1	0.0
177683065	-78.7760256	0.1	0.0
177882985	-78.7760256	0.1	0.0
178082905	-78.7760256	0.1	0.0
178282825	-78.7760256	0.1	0.0
178482745	-78.7760256	0.1	0.0
178682665	-78.7760256	0.1	0.0
178883418	-78.7760256	0.1	0.0
179083338	-78.7760256	0.1	0.0
179283258	-78.7760256	0.1	0.0
179483178	-78.7760256	0.1	0.0
179683098	-78.7760256	0.1	0.0
179883018	-78.7760256	0.1	0.0
180082938	-78.7760256	0.1	0.0
180282858	-78.7760256	0.1	0.0
180482778	-78.7760256	0.1	0.0
180682698	-78.7760256	0.1	0.0
180883451	-78.7760256	0.1	0.0
181083371	-78.7760256	0.09	0.0
181283291	-78.7760256	0.1	0.007
181483211	-78.7760256	0.16	0.039
181683131	-78.7760256	0.27	0.081
181883051	-78.7760258	0.44	0.12
182082971	-78.7760261	0.66	0.132
182282891	-78.7760263	0.91	0.123
182482811	-78.7760265	1.17	0.097
182682731	-78.7760267	1.43	0.068
182883484	-78.7760268	1.67	0.05
183083404	-78.7760268	1.86	0.033
183283324	-78.7760268	2.01	0.023
183483244	-78.776027	2.13	0.018
183683164	-78.776027	2.21	0.011
183883084	-78.776027	2.27	0.008
184083004	-78.776027	2.32	0.005
184282924	-78.776027	2.35	0.002
184482844	-78.776027	2.38	0.004
184682764	-78.776027	2.4	0.004
184882684	-78.776027	2.42	0.004
185083437	-78.776027	2.44	0.007
185283357	-78.776027	2.45	0.008
185483277	-78.776027	2.46	0.011
185683197	-78.7760268	2.47	0.012
185883117	-78.7760268	2.47	0.007
186083037	-78.7760268	2.48	0.004
186282957	-78.7760268	2.48	0.004
186482877	-78.7760268	2.48	0.01
186682797	-78.7760268	2.49	0.01
186882717	-78.7760268	2.49	0.009000001
187083470	-78.776027	2.49	0.009000001
187283390	-78.776027	2.49	0.005
187483310	-78.776027	2.49	0.003
187683230	-78.776027	2.49	0.001
187883150	-78.776027	2.48	0.004
188083070	-78.776027	2.48	0.008
188282990	-78.776027	2.48	0.008
188482910	-78.776027	2.48	0.006
188682830	-78.776027	2.48	0.008
188882750	-78.776027	2.48	0.009000001
189082670	-78.776027	2.48	0.01
189283423	-78.776027	2.48	0.008
189483343	-78.776027	2.48	0.006
189683263	-78.776027	2.48	0.004
189883183	-78.776027	2.48	0.004
190083103	-78.776027	2.48	0.007
190283023	-78.776027	2.48	0.01
190482943	-78.7760272	2.48	0.017
190682863	-78.7760272	2.48	0.028
190882783	-78.7760273	2.48	0.033
191082703	-78.7760273	2.48	0.039
191283456	-78.7760273	2.48	0.04
191483376	-78.7760275	2.48	0.038
191683296	-78.7760275	2.48	0.06
191883216	-78.7760278	2.48	0.176
192083136	-78.7760282	2.48	0.357
192283056	-78.7760289	2.48	0.563
192482976	-78.7760298	2.48	0.758
192682896	-78.776031	2.48	0.9260001
192882816	-78.7760323	2.48	1.064
193082736	-78.7760339	2.48	1.177
193283489	-78.7760354	2.48	1.292
193483409	-78.7760373	2.48	1.428
193683329	-78.776039	2.47	1.577
193883249	-78.7760409	2.47	1.735
194083169	-78.7760428	2.47	1.895
194283089	-78.7760447	2.48	2.062
194483009	-78.7760471	2.48	2.237
194682929	-78.7760498	2.48	2.406
194882849	-78.7760529	2.48	2.555
195082769	-78.7760564	2.48	2.68
195282689	-78.77606	2.48	2.782
195483442	-78.7760637	2.48	2.876
195683362	-78.7760675	2.48	2.972
195883282	-78.7760713	2.47	3.074
196083202	-78.7760756	2.47	3.179
196283122	-78.7760802	2.47	3.276
196483042	-78.7760851	2.47	3.359
196682962	-78.7760902	2.47	3.436
196882882	-78.7760953	2.47	3.517
197082802	-78.7761003	2.47	3.595
197282722	-78.7761052	2.47	3.675
197483475	-78.77611	2.47	3.756
197683395	-78.7761149	2.47	3.834
197883315	-78.7761199	2.47	3.91
198083235	-78.7761249	2.47	3.987
198283155	-78.7761302	2.47	4.056
198483075	-78.7761357	2.47	4.124
198682995	-78.7761412	2.47	4.189
198882915	-78.7761467	2.47	4.251
199082835	-78.7761522	2.47	4.308
199282755	-78.7761577	2.47	4.369
199482675	-78.7761634	2.47	4.419
199683428	-78.776169	2.47	4.471
199883348	-78.7761747	2.46	4.522
200083268	-78.7761805	2.46	4.574
200283188	-78.7761862	2.46	4.609
200483108	-78.7761922	2.47	4.638
200683028	-78.7761981	2.47	4.664
200882948	-78.7762041	2.47	4.689
201082868	-78.7762099	2.47	4.714
201282788	-78.7762159	2.47	4.74
201482708	-78.7762219	2.47	4.767
201683461	-78.7762281	2.47	4.797
201883381	-78.7762341	2.47	4.821
202083301	-78.7762403	2.48	4.842
202283221	-78.7762465	2.48	4.86
